Year,County,Total BER Dwellings,Poor BER Dwellings,Poor BER (%),Average BER Category Score,A1,A2,A3,B1,B2,B3,C,D,E,F-G
2024,Mayo,3781,1237,32.72,6.293,127,376,222,196,249,344,1030,572,279,386
2024,Leitrim,1005,298,29.65,6.352,19,82,63,68,51,144,280,123,73,102
2024,Roscommon,1634,484,29.62,6.34,40,138,78,118,133,183,460,194,97,193
2024,Donegal,4003,1184,29.58,6.219,133,373,289,247,202,347,1228,553,262,369
2024,Longford,979,260,26.56,6.069,15,96,98,62,72,103,273,110,76,74
2024,Tipperary,3969,1039,26.18,5.972,112,403,341,258,365,455,996,464,259,316
2024,Monaghan,1348,333,24.7,5.68,23,194,146,127,106,118,301,148,79,106
2024,Offaly,1944,456,23.46,5.69,61,336,149,116,121,201,504,196,89,171
2024,Kerry,3629,848,23.37,5.876,136,354,334,210,331,448,968,389,183,276
2024,Sligo,1977,440,22.26,5.946,79,172,156,116,172,262,580,190,111,139
2024,Clare,2904,642,22.11,5.695,80,417,214,228,295,318,710,279,144,219
2024,Cork,14751,3212,21.77,5.446,472,3032,964,985,1244,1697,3145,1398,780,1034
2024,Westmeath,2732,587,21.49,5.631,230,303,146,204,208,359,695,247,142,198
2024,Cavan,1622,340,20.96,5.967,20,170,105,141,144,238,464,142,73,125
2024,Galway,4938,1016,20.58,5.513,269,719,379,343,479,565,1168,473,170,373
2024,Carlow,1710,341,19.94,5.553,37,256,165,134,160,199,418,168,79,94
2024,Kilkenny,2289,455,19.88,5.382,96,435,164,146,193,290,510,214,119,122
2024,Limerick,2611,514,19.69,5.354,75,532,234,176,221,297,562,209,110,195
2024,Waterford,2178,424,19.47,5.294,63,473,155,165,192,241,465,198,109,117
2024,Wexford,4913,951,19.36,5.49,121,950,348,312,362,556,1313,487,212,252
2024,Wicklow,4825,891,18.47,5.132,256,1166,255,308,379,476,1094,465,214,212
2024,Louth,4001,723,18.07,5.105,153,948,305,295,344,408,825,356,181,186
2024,Laois,2107,354,16.8,5.071,43,590,144,128,164,229,455,171,59,124
2024,Dublin,11156,1608,14.41,4.989,567,2852,565,583,1019,1264,2698,954,378,276
2024,Meath,5580,762,13.66,4.948,350,1270,337,386,564,711,1200,386,171,205
2024,Kildare,6064,797,13.14,5.024,276,1417,353,397,604,762,1458,452,158,187
