Census Year,County,Total Housing Stock,Occupied Dwellings,Temporarily Absent Dwellings,Vacant Dwellings,Holiday Homes,Vacant Share of Housing Stock (%),Detached Houses,Semi-Detached Houses,Terraced Houses,Purpose-Built Apartments,Converted Apartments,Apartment Dwellings
2022,Carlow,24557,22282,267,1724,284,7.02,12363,6339,3986,1393,476,1869
2022,Cavan,34427,28890,440,4023,1074,11.69,22855,6072,3470,1319,711,2030
2022,Clare,57665,46784,881,5079,4921,8.81,34507,11205,8031,2969,953,3922
2022,Cork,240942,212288,4155,17055,7444,7.08,108040,52031,55998,16400,8473,24873
2022,Donegal,85990,62357,1533,9615,12485,11.18,60524,14404,6422,3006,1634,4640
2022,Dublin,565321,520882,11025,31658,1756,5.6,54487,163885,186152,131476,29321,160797
2022,Galway,117773,99415,1817,11541,5000,9.8,69760,23111,10250,11400,3252,14652
2022,Kerry,77305,58798,1124,8487,8896,10.98,51362,12137,8884,3297,1625,4922
2022,Kildare,88997,82787,1480,4528,202,5.09,34009,33349,12191,7897,1551,9448
2022,Kilkenny,40996,36821,488,3140,547,7.66,23985,7412,7313,1497,789,2286
2022,Laois,34443,31196,475,2576,196,7.48,18904,9622,4004,1499,414,1913
2022,Leitrim,18482,13713,258,2807,1704,15.19,13379,2335,1621,900,247,1147
2022,Limerick,85363,76756,1315,6641,651,7.78,38231,21666,15158,8216,2092,10308
2022,Longford,19195,16270,209,2338,378,12.18,12114,3946,1904,999,232,1231
2022,Louth,54842,49533,946,3582,781,6.53,21280,14336,14833,3343,1050,4393
2022,Mayo,68282,52421,952,8922,5987,13.07,47958,10493,5842,2538,1451,3989
2022,Meath,78759,72721,1291,4416,331,5.61,39565,23279,9288,5487,1140,6627
2022,Monaghan,26339,22944,373,2793,229,10.6,16779,5116,2932,760,752,1512
2022,Offaly,31851,28773,374,2491,213,7.82,18295,7917,3936,1027,676,1703
2022,Roscommon,32129,26097,426,4279,1327,13.32,23603,5424,1762,801,539,1340
2022,Sligo,33711,27146,578,3954,2033,11.73,19075,7012,4416,2466,742,3208
2022,Tipperary,70608,62342,829,6344,1093,8.98,41096,14728,11263,1882,1639,3521
2022,Waterford,54847,47976,853,3871,2147,7.06,22798,14559,12214,3815,1461,5276
2022,Westmeath,38189,34133,628,3095,333,8.1,19886,10155,4029,3083,1036,4119
2022,Wexford,71479,59367,1014,5140,5958,7.19,43863,12398,11096,2803,1319,4122
2022,Wicklow,59629,54246,1063,3334,986,5.59,26346,16162,11041,4266,1814,6080
