Year,County,Total BER Dwellings,Dominant Heating Fuel,Mains Gas (%),Heating Oil (%),Electricity (%),Solid Fuel (%),LPG (%),Dominant Dwelling Type,Apartment (%),Detached House (%),Semi-Detached House (%),Terraced House (%),Dominant Construction Period,Pre-1978 (%),1978-1999 (%),Pre-2000 (%),2000-2009 (%),2010-2019 (%),2020-2024 (%)
2024,Carlow,1710,Heating Oil,22.16,41.81,32.69,2.51,0.53,Detached House,6.67,47.43,25.79,20.12,2000-2009,24.85,25.44,50.29,34.8,2.75,12.16
2024,Cavan,1622,Heating Oil,6.29,60.73,26.33,3.14,3.33,Detached House,7.77,60.17,22.01,10.05,2000-2009,23.0,20.59,43.59,42.54,3.7,10.17
2024,Clare,2904,Heating Oil,8.57,54.24,31.4,3.82,1.83,Detached House,5.89,63.29,19.8,11.02,2000-2009,27.48,26.21,53.68,28.86,4.03,13.43
2024,Cork,14751,Electricity,28.4,31.91,36.8,1.65,1.05,Detached House,10.55,41.6,26.26,21.59,Pre-1978,31.27,20.97,52.25,24.59,3.45,19.71
2024,Donegal,4003,Heating Oil,0.07,65.2,26.38,5.62,2.0,Detached House,6.27,63.65,20.11,9.97,2000-2009,25.01,31.8,56.81,32.88,2.55,7.77
2024,Dublin,11156,Mains Gas,50.69,10.37,35.86,0.3,0.17,Semi-Detached House,27.03,17.94,31.59,23.44,2020-2024,27.13,20.45,47.58,21.08,3.1,28.24
2024,Galway,4938,Heating Oil,3.99,58.93,32.34,3.34,1.32,Detached House,5.69,70.25,15.13,8.93,2000-2009,22.92,24.65,47.57,34.83,3.97,13.63
2024,Kerry,3629,Heating Oil,0.72,59.93,30.95,4.41,3.69,Detached House,6.28,64.87,18.71,10.14,2000-2009,28.91,24.8,53.71,34.83,2.95,8.51
2024,Kildare,6064,Electricity,32.64,31.28,34.4,1.22,0.43,Semi-Detached House,12.66,36.07,36.53,14.74,2000-2009,18.06,26.45,44.51,27.39,5.34,22.76
2024,Kilkenny,2289,Heating Oil,17.47,45.57,33.51,2.1,1.31,Detached House,8.69,54.96,20.84,15.51,2000-2009,24.86,22.59,47.44,29.97,3.8,18.79
2024,Laois,2107,Electricity,19.7,36.31,39.58,3.84,0.52,Detached House,8.5,45.33,32.04,14.14,2000-2009,20.65,15.61,36.26,33.51,3.27,26.96
2024,Leitrim,1005,Heating Oil,0.6,62.19,27.66,4.48,5.07,Detached House,6.47,66.57,17.91,9.05,2000-2009,27.06,22.39,49.45,41.89,1.59,7.06
2024,Limerick,2611,Heating Oil,10.61,50.33,35.73,2.53,0.77,Detached House,10.57,59.29,17.27,12.87,2000-2009,24.32,21.18,45.5,29.34,4.02,21.14
2024,Longford,979,Heating Oil,0.82,61.08,29.32,6.84,1.94,Detached House,4.19,58.63,23.19,13.99,2000-2009,30.34,16.96,47.29,39.94,2.66,10.11
2024,Louth,4001,Electricity,31.34,29.54,37.19,0.97,0.6,Detached House,14.25,35.37,26.12,24.27,2020-2024,24.42,20.82,45.24,25.59,2.85,26.32
2024,Mayo,3781,Heating Oil,1.67,63.13,29.25,3.99,1.75,Detached House,7.7,66.04,15.66,10.61,Pre-1978,31.58,26.02,57.6,29.6,3.04,9.76
2024,Meath,5580,Electricity,26.13,35.86,36.42,1.04,0.34,Detached House,11.38,44.87,28.23,15.52,2000-2009,18.39,20.0,38.39,31.59,5.82,24.19
2024,Monaghan,1348,Heating Oil,6.53,56.53,33.38,1.85,1.71,Detached House,6.01,54.9,23.0,16.1,2000-2009,29.9,22.92,52.82,30.93,2.89,13.35
2024,Offaly,1944,Heating Oil,6.28,49.43,32.92,10.8,0.51,Detached House,3.6,53.14,29.37,13.89,2000-2009,27.11,18.26,45.37,33.8,4.53,16.31
2024,Roscommon,1634,Heating Oil,2.02,68.36,21.79,4.83,3.0,Detached House,3.73,70.81,16.95,8.51,2000-2009,30.11,20.87,50.98,41.06,2.51,5.45
2024,Sligo,1977,Heating Oil,0.51,62.92,30.7,2.98,2.68,Detached House,9.56,53.57,23.98,12.9,2000-2009,30.15,27.67,57.81,32.73,3.03,6.42
2024,Tipperary,3969,Heating Oil,10.36,59.06,26.38,3.15,0.88,Detached House,4.43,57.87,22.5,15.19,Pre-1978,34.32,23.41,57.72,31.19,2.42,8.67
2024,Waterford,2178,Heating Oil,9.09,47.7,38.84,3.44,0.92,Detached House,4.18,49.49,33.01,13.31,2000-2009,24.66,22.04,46.69,30.3,2.89,20.11
2024,Westmeath,2732,Heating Oil,12.77,46.34,32.32,5.67,2.09,Detached House,15.85,44.91,27.12,12.12,2000-2009,25.88,21.78,47.66,33.2,2.34,16.8
2024,Wexford,4913,Heating Oil,0.51,57.17,37.51,3.26,1.51,Detached House,6.64,54.18,22.88,16.3,2000-2009,22.19,22.98,45.17,32.42,3.32,19.09
2024,Wicklow,4825,Electricity,25.24,32.75,39.83,1.51,0.54,Detached House,8.04,38.92,30.74,22.3,Pre-1978,28.44,23.46,51.9,18.53,3.36,26.22
