Analysis Year,County,Vacancy Quarter,Census Year,Vacancy Rate (%),Poor BER (%),Annual Mean Temperature (C),Annual Mean Minimum Temperature (C),Annual Mean Maximum Temperature (C),Annual Rainfall (mm),Heating Degree Days (Base 15.5C),Total Housing Stock,Occupied Dwellings,Census Vacant Dwellings,Holiday Homes,Census Vacant Share (%),Detached Houses,Semi-Detached Houses,Terraced Houses,Apartment Dwellings,Apartment Share (%),Vacancy Component (0-100),BER Component (0-100),Renovation Priority Score,Priority Rank,BER Sample Dwellings,Dominant Heating Fuel,Mains Gas (%),Heating Oil (%),Electricity (%),Solid Fuel (%),LPG (%),Dominant BER Dwelling Type,BER Apartment (%),BER Detached House (%),BER Semi-Detached House (%),BER Terraced House (%),Dominant Construction Period,Pre-1978 (%),1978-1999 (%),Pre-2000 (%),2000-2009 (%),2010-2019 (%),2020-2024 (%)
2024,Leitrim,2024Q4,2022,7.8,29.65,9.67,6.2,13.11,1308.9,2134.0,18482,13713,2807,1704,15.19,13379,2335,1621,1147,6.21,100.0,84.32,92.16,1,1005,Heating Oil,0.6,62.19,27.66,4.48,5.07,Detached House,6.47,66.57,17.91,9.05,2000-2009,27.06,22.39,49.45,41.89,1.59,7.06
2024,Mayo,2024Q4,2022,6.0,32.72,10.14,7.07,13.2,1505.1,1963.5,68282,52421,8922,5987,13.07,47958,10493,5842,3989,5.84,71.87,100.0,85.94,2,3781,Heating Oil,1.67,63.13,29.25,3.99,1.75,Detached House,7.7,66.04,15.66,10.61,Pre-1978,31.58,26.02,57.6,29.6,3.04,9.76
2024,Donegal,2024Q4,2022,6.3,29.58,9.59,6.54,12.64,1457.3,2164.3,85990,62357,9615,12485,11.18,60524,14404,6422,4640,5.4,76.56,83.96,80.26,3,4003,Heating Oil,0.07,65.2,26.38,5.62,2.0,Detached House,6.27,63.65,20.11,9.97,2000-2009,25.01,31.8,56.81,32.88,2.55,7.77
2024,Roscommon,2024Q4,2022,5.6,29.62,10.09,6.51,13.68,1124.6,1981.7,32129,26097,4279,1327,13.32,23603,5424,1762,1340,4.17,65.62,84.17,74.9,4,1634,Heating Oil,2.02,68.36,21.79,4.83,3.0,Detached House,3.73,70.81,16.95,8.51,2000-2009,30.11,20.87,50.98,41.06,2.51,5.45
2024,Longford,2024Q4,2022,4.9,26.56,10.04,6.31,13.76,972.8,1999.7,19195,16270,2338,378,12.18,12114,3946,1904,1231,6.41,54.69,68.54,61.61,5,979,Heating Oil,0.82,61.08,29.32,6.84,1.94,Detached House,4.19,58.63,23.19,13.99,2000-2009,30.34,16.96,47.29,39.94,2.66,10.11
2024,Monaghan,2024Q4,2022,5.2,24.7,9.91,6.38,13.45,905.3,2045.0,26339,22944,2793,229,10.6,16779,5116,2932,1512,5.74,59.38,59.04,59.21,6,1348,Heating Oil,6.53,56.53,33.38,1.85,1.71,Detached House,6.01,54.9,23.0,16.1,2000-2009,29.9,22.92,52.82,30.93,2.89,13.35
2024,Kerry,2024Q4,2022,5.4,23.37,10.53,7.42,13.62,1755.0,1818.7,77305,58798,8487,8896,10.98,51362,12137,8884,4922,6.37,62.5,52.25,57.37,7,3629,Heating Oil,0.72,59.93,30.95,4.41,3.69,Detached House,6.28,64.87,18.71,10.14,2000-2009,28.91,24.8,53.71,34.83,2.95,8.51
2024,Tipperary,2024Q4,2022,4.0,26.18,10.18,6.55,13.81,1019.2,1946.0,70608,62342,6344,1093,8.98,41096,14728,11263,3521,4.99,40.62,66.6,53.61,8,3969,Heating Oil,10.36,59.06,26.38,3.15,0.88,Detached House,4.43,57.87,22.5,15.19,Pre-1978,34.32,23.41,57.72,31.19,2.42,8.67
2024,Sligo,2024Q4,2022,5.1,22.26,9.89,6.64,13.16,1302.7,2054.7,33711,27146,3954,2033,11.73,19075,7012,4416,3208,9.52,57.81,46.58,52.2,9,1977,Heating Oil,0.51,62.92,30.7,2.98,2.68,Detached House,9.56,53.57,23.98,12.9,2000-2009,30.15,27.67,57.81,32.73,3.03,6.42
2024,Cavan,2024Q4,2022,5.1,20.96,9.79,6.2,13.35,1065.6,2091.0,34427,28890,4023,1074,11.69,22855,6072,3470,2030,5.9,57.81,39.94,48.88,10,1622,Heating Oil,6.29,60.73,26.33,3.14,3.33,Detached House,7.77,60.17,22.01,10.05,2000-2009,23.0,20.59,43.59,42.54,3.7,10.17
2024,Clare,2024Q4,2022,4.3,22.11,10.54,7.22,13.85,1306.9,1814.9,57665,46784,5079,4921,8.81,34507,11205,8031,3922,6.8,45.31,45.81,45.56,11,2904,Heating Oil,8.57,54.24,31.4,3.82,1.83,Detached House,5.89,63.29,19.8,11.02,2000-2009,27.48,26.21,53.68,28.86,4.03,13.43
2024,Offaly,2024Q4,2022,3.3,23.46,10.24,6.51,13.97,836.3,1926.9,31851,28773,2491,213,7.82,18295,7917,3936,1703,5.35,29.69,52.71,41.2,12,1944,Heating Oil,6.28,49.43,32.92,10.8,0.51,Detached House,3.6,53.14,29.37,13.89,2000-2009,27.11,18.26,45.37,33.8,4.53,16.31
2024,Cork,2024Q4,2022,3.33,21.77,10.61,7.35,13.86,1465.9,1791.3,240942,212288,17055,7444,7.08,108040,52031,55998,24873,10.32,30.13,44.08,37.11,13,14751,Electricity,28.4,31.91,36.8,1.65,1.05,Detached House,10.55,41.6,26.26,21.59,Pre-1978,31.27,20.97,52.25,24.59,3.45,19.71
2024,Westmeath,2024Q4,2022,3.2,21.49,10.12,6.41,13.79,896.4,1969.2,38189,34133,3095,333,8.1,19886,10155,4029,4119,10.79,28.12,42.65,35.39,14,2732,Heating Oil,12.77,46.34,32.32,5.67,2.09,Detached House,15.85,44.91,27.12,12.12,2000-2009,25.88,21.78,47.66,33.2,2.34,16.8
2024,Galway,2024Q4,2022,3.41,20.58,10.37,7.03,13.71,1309.0,1878.4,117773,99415,11541,5000,9.8,69760,23111,10250,14652,12.44,31.39,38.0,34.69,15,4938,Heating Oil,3.99,58.93,32.34,3.34,1.32,Detached House,5.69,70.25,15.13,8.93,2000-2009,22.92,24.65,47.57,34.83,3.97,13.63
2024,Limerick,2024Q4,2022,3.5,19.69,10.49,6.97,14.0,1100.0,1833.4,85363,76756,6641,651,7.78,38231,21666,15158,10308,12.08,32.81,33.45,33.13,16,2611,Heating Oil,10.61,50.33,35.73,2.53,0.77,Detached House,10.57,59.29,17.27,12.87,2000-2009,24.32,21.18,45.5,29.34,4.02,21.14
2024,Wexford,2024Q4,2022,3.4,19.36,10.88,7.7,14.05,1118.4,1702.0,71479,59367,5140,5958,7.19,43863,12398,11096,4122,5.77,31.25,31.77,31.51,17,4913,Heating Oil,0.51,57.17,37.51,3.26,1.51,Detached House,6.64,54.18,22.88,16.3,2000-2009,22.19,22.98,45.17,32.42,3.32,19.09
2024,Waterford,2024Q4,2022,3.3,19.47,10.47,7.08,13.84,1300.1,1842.6,54847,47976,3871,2147,7.06,22798,14559,12214,5276,9.62,29.69,32.33,31.01,18,2178,Heating Oil,9.09,47.7,38.84,3.44,0.92,Detached House,4.18,49.49,33.01,13.31,2000-2009,24.66,22.04,46.69,30.3,2.89,20.11
2024,Kilkenny,2024Q4,2022,3.1,19.88,10.36,6.76,13.96,967.4,1882.0,40996,36821,3140,547,7.66,23985,7412,7313,2286,5.58,26.56,34.42,30.49,19,2289,Heating Oil,17.47,45.57,33.51,2.1,1.31,Detached House,8.69,54.96,20.84,15.51,2000-2009,24.86,22.59,47.44,29.97,3.8,18.79
2024,Carlow,2024Q4,2022,2.5,19.94,10.38,6.84,13.93,936.0,1875.4,24557,22282,1724,284,7.02,12363,6339,3986,1869,7.61,17.19,34.73,25.96,20,1710,Heating Oil,22.16,41.81,32.69,2.51,0.53,Detached House,6.67,47.43,25.79,20.12,2000-2009,24.85,25.44,50.29,34.8,2.75,12.16
2024,Wicklow,2024Q4,2022,2.3,18.47,9.71,6.32,13.12,1224.1,2118.8,59629,54246,3334,986,5.59,26346,16162,11041,6080,10.2,14.06,27.22,20.64,21,4825,Electricity,25.24,32.75,39.83,1.51,0.54,Detached House,8.04,38.92,30.74,22.3,Pre-1978,28.44,23.46,51.9,18.53,3.36,26.22
2024,Louth,2024Q4,2022,2.3,18.07,10.51,7.13,13.85,821.4,1831.0,54842,49533,3582,781,6.53,21280,14336,14833,4393,8.01,14.06,25.18,19.62,22,4001,Electricity,31.34,29.54,37.19,0.97,0.6,Detached House,14.25,35.37,26.12,24.27,2020-2024,24.42,20.82,45.24,25.59,2.85,26.32
2024,Laois,2024Q4,2022,2.7,16.8,9.99,6.27,13.72,877.6,2015.5,34443,31196,2576,196,7.48,18904,9622,4004,1913,5.55,20.31,18.69,19.5,23,2107,Electricity,19.7,36.31,39.58,3.84,0.52,Detached House,8.5,45.33,32.04,14.14,2000-2009,20.65,15.61,36.26,33.51,3.27,26.96
2024,Dublin,2024Q4,2022,1.68,14.41,10.58,7.2,13.94,747.7,1816.1,565321,520882,31658,1756,5.6,54487,163885,186152,160797,28.44,4.35,6.49,5.42,24,11156,Mains Gas,50.69,10.37,35.86,0.3,0.17,Semi-Detached House,27.03,17.94,31.59,23.44,2020-2024,27.13,20.45,47.58,21.08,3.1,28.24
2024,Meath,2024Q4,2022,1.7,13.66,10.3,6.75,13.87,786.4,1901.7,78759,72721,4416,331,5.61,39565,23279,9288,6627,8.41,4.69,2.66,3.67,25,5580,Electricity,26.13,35.86,36.42,1.04,0.34,Detached House,11.38,44.87,28.23,15.52,2000-2009,18.39,20.0,38.39,31.59,5.82,24.19
2024,Kildare,2024Q4,2022,1.4,13.14,10.34,6.75,13.92,757.8,1890.0,88997,82787,4528,202,5.09,34009,33349,12191,9448,10.62,0.0,0.0,0.0,26,6064,Electricity,32.64,31.28,34.4,1.22,0.43,Semi-Detached House,12.66,36.07,36.53,14.74,2000-2009,18.06,26.45,44.51,27.39,5.34,22.76
