census_year,small_area_guid,small_area_code,small_area_geogid,county_code,county_name,electoral_division_guid,electoral_division_code,electoral_division_name,local_electoral_area_code,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,urban_area_flag,urban_area_name
2022,4c07d11e-2c46-851d-e053-ca3ca8c0ca7f,147005003,A147005003,10,LOUTH,2ae19629-195d-13a3-e055-000000000001,147005,CARLINGFORD,DUNDALK-CARLINGFORD,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Carlingford
2022,4c07d11e-1d31-851d-e053-ca3ca8c0ca7f,247091008,A247091008,14,WEXFORD,2ae19629-1eac-13a3-e055-000000000001,247091,NEW ROSS URBAN,NEW ROSS,IE0,Ireland,IE05,Southern,IE052,South-East,1,New Ross
2022,4c07d11d-fae7-851d-e053-ca3ca8c0ca7f,057103001,A057103001,33,DONEGAL,2ae19629-20dc-13a3-e055-000000000001,057103,KNOCKALLA,MILFORD,IE0,Ireland,IE04,Northern and Western,IE041,Border,0,
2022,4c07d11d-fd90-851d-e053-ca3ca8c0ca7f,027053002,A027053002,32,CAVAN,2ae19629-1cbd-13a3-e055-000000000001,027053,KILCOGY,BALLYJAMESDUFF,IE0,Ireland,IE04,Northern and Western,IE041,Border,0,
2022,4c07d11e-17ba-851d-e053-ca3ca8c0ca7f,217041003,A217041003,23,SOUTH TIPPERARY,2ae19629-1c3d-13a3-e055-000000000001,217041,CARRICK-on-SUIR URBAN,CARRICK-ON-SUIR,IE0,Ireland,IE05,Southern,IE051,Mid-West,1,Carrick-on-Suir
2022,983699bb-8473-4a36-9fcc-ec71d668ee96,267065001/02,A267065001/02,04,FINGAL,2ae19629-1d38-13a3-e055-000000000001,267065,DONABATE,RUSH-LUSK,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Donabate
2022,4c07d11e-17e3-851d-e053-ca3ca8c0ca7f,228021001,A228021001,24,WATERFORD CITY,2ae19629-1ba7-13a3-e055-000000000001,228021,LARCHVILLE,WATERFORD CITY SOUTH,IE0,Ireland,IE05,Southern,IE052,South-East,1,Waterford city and suburbs
2022,4c07d11e-07f2-851d-e053-ca3ca8c0ca7f,027092014,A027092014,32,CAVAN,2ae19629-1faf-13a3-e055-000000000001,027092,VIRGINIA,BALLYJAMESDUFF,IE0,Ireland,IE04,Northern and Western,IE041,Border,0,
2022,4c07d11e-1f9d-851d-e053-ca3ca8c0ca7f,087034010,A087034010,06,KILDARE,2ae19629-22bf-13a3-e055-000000000001,087034,DROICHEAD NUA (NEWBRIDGE) URBAN,NEWBRIDGE,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Newbridge
2022,4c07d11d-fdfa-851d-e053-ca3ca8c0ca7f,067138002,A067138002,27,GALWAY,2ae19629-2305-13a3-e055-000000000001,067138,KILLOWER,TUAM,IE0,Ireland,IE04,Northern and Western,IE042,West,0,
2022,4c07d11e-1801-851d-e053-ca3ca8c0ca7f,228038001,A228038001,24,WATERFORD CITY,2ae19629-1bc0-13a3-e055-000000000001,228038,GRANGE NORTH,WATERFORD CITY SOUTH,IE0,Ireland,IE05,Southern,IE052,South-East,1,Waterford city and suburbs
2022,4c07d11e-202b-851d-e053-ca3ca8c0ca7f,048042016,A048042016,17,CORK CITY,2ae19629-218d-13a3-e055-000000000001,048042,MAHON A,CORK CITY SOUTH EAST,IE0,Ireland,IE05,Southern,IE053,South-West,1,Cork city and suburbs
