Quarter,Local Authority,Vacancy Rate (%)
2024Q4,Leitrim County Council,7.8
2024Q4,Donegal County Council,6.3
2024Q4,Mayo County Council,6.0
2024Q4,Roscommon County Council,5.6
2024Q4,Kerry County Council,5.4
2024Q4,Monaghan County Council,5.2
2024Q4,Cavan County Council,5.1
2024Q4,Sligo County Council,5.1
2024Q4,Longford County Council,4.9
2024Q4,Clare County Council,4.3
2024Q4,Galway County Council,4.2
2024Q4,Tipperary County Council,4.0
2024Q4,Limerick City & County Council,3.5
2024Q4,Cork County Council,3.4
2024Q4,Wexford County Council,3.4
2024Q4,Offaly County Council,3.3
2024Q4,Waterford City & County Council,3.3
2024Q4,Westmeath County Council,3.2
2024Q4,Cork City Council,3.1
2024Q4,Kilkenny County Council,3.1
2024Q4,Laois County Council,2.7
2024Q4,Dublin City Council,2.6
2024Q4,Carlow County Council,2.5
2024Q4,Louth County Council,2.3
2024Q4,Wicklow County Council,2.3
2024Q4,Galway City Council,1.7
2024Q4,Meath County Council,1.7
2024Q4,Dún Laoghaire Rathdown County Council,1.5
2024Q4,Kildare County Council,1.4
2024Q4,Fingal County Council,1.1
2024Q4,South Dublin County Council,0.9
