Analysis Year,County,Vacancy Quarter,Census Year,Vacancy Rate (%),Poor BER (%),Annual Mean Temperature (C),Annual Mean Minimum Temperature (C),Annual Mean Maximum Temperature (C),Annual Rainfall (mm),Heating Degree Days (Base 15.5C),Total Housing Stock,Occupied Dwellings,Census Vacant Dwellings,Holiday Homes,Census Vacant Share (%),Detached Houses,Semi-Detached Houses,Terraced Houses,Apartment Dwellings,Apartment Share (%),Vacancy Component (0-100),BER Component (0-100),Renovation Priority Score,Priority Rank
2024,Leitrim,2024Q4,2022,7.8,29.65,9.67,6.2,13.11,1308.9,2134.0,18482,13713,2807,1704,15.19,13379,2335,1621,1147,6.21,100.0,84.32,92.16,1
2024,Mayo,2024Q4,2022,6.0,32.72,10.14,7.07,13.2,1505.1,1963.5,68282,52421,8922,5987,13.07,47958,10493,5842,3989,5.84,71.87,100.0,85.94,2
2024,Donegal,2024Q4,2022,6.3,29.58,9.59,6.54,12.64,1457.3,2164.3,85990,62357,9615,12485,11.18,60524,14404,6422,4640,5.4,76.56,83.96,80.26,3
2024,Roscommon,2024Q4,2022,5.6,29.62,10.09,6.51,13.68,1124.6,1981.7,32129,26097,4279,1327,13.32,23603,5424,1762,1340,4.17,65.62,84.17,74.9,4
2024,Longford,2024Q4,2022,4.9,26.56,10.04,6.31,13.76,972.8,1999.7,19195,16270,2338,378,12.18,12114,3946,1904,1231,6.41,54.69,68.54,61.61,5
2024,Monaghan,2024Q4,2022,5.2,24.7,9.91,6.38,13.45,905.3,2045.0,26339,22944,2793,229,10.6,16779,5116,2932,1512,5.74,59.38,59.04,59.21,6
2024,Kerry,2024Q4,2022,5.4,23.37,10.53,7.42,13.62,1755.0,1818.7,77305,58798,8487,8896,10.98,51362,12137,8884,4922,6.37,62.5,52.25,57.37,7
2024,Tipperary,2024Q4,2022,4.0,26.18,10.18,6.55,13.81,1019.2,1946.0,70608,62342,6344,1093,8.98,41096,14728,11263,3521,4.99,40.62,66.6,53.61,8
2024,Sligo,2024Q4,2022,5.1,22.26,9.89,6.64,13.16,1302.7,2054.7,33711,27146,3954,2033,11.73,19075,7012,4416,3208,9.52,57.81,46.58,52.2,9
2024,Cavan,2024Q4,2022,5.1,20.96,9.79,6.2,13.35,1065.6,2091.0,34427,28890,4023,1074,11.69,22855,6072,3470,2030,5.9,57.81,39.94,48.88,10
2024,Clare,2024Q4,2022,4.3,22.11,10.54,7.22,13.85,1306.9,1814.9,57665,46784,5079,4921,8.81,34507,11205,8031,3922,6.8,45.31,45.81,45.56,11
2024,Offaly,2024Q4,2022,3.3,23.46,10.24,6.51,13.97,836.3,1926.9,31851,28773,2491,213,7.82,18295,7917,3936,1703,5.35,29.69,52.71,41.2,12
2024,Cork,2024Q4,2022,3.33,21.77,10.61,7.35,13.86,1465.9,1791.3,240942,212288,17055,7444,7.08,108040,52031,55998,24873,10.32,30.13,44.08,37.11,13
2024,Westmeath,2024Q4,2022,3.2,21.49,10.12,6.41,13.79,896.4,1969.2,38189,34133,3095,333,8.1,19886,10155,4029,4119,10.79,28.12,42.65,35.39,14
2024,Galway,2024Q4,2022,3.41,20.58,10.37,7.03,13.71,1309.0,1878.4,117773,99415,11541,5000,9.8,69760,23111,10250,14652,12.44,31.39,38.0,34.69,15
2024,Limerick,2024Q4,2022,3.5,19.69,10.49,6.97,14.0,1100.0,1833.4,85363,76756,6641,651,7.78,38231,21666,15158,10308,12.08,32.81,33.45,33.13,16
2024,Wexford,2024Q4,2022,3.4,19.36,10.88,7.7,14.05,1118.4,1702.0,71479,59367,5140,5958,7.19,43863,12398,11096,4122,5.77,31.25,31.77,31.51,17
2024,Waterford,2024Q4,2022,3.3,19.47,10.47,7.08,13.84,1300.1,1842.6,54847,47976,3871,2147,7.06,22798,14559,12214,5276,9.62,29.69,32.33,31.01,18
2024,Kilkenny,2024Q4,2022,3.1,19.88,10.36,6.76,13.96,967.4,1882.0,40996,36821,3140,547,7.66,23985,7412,7313,2286,5.58,26.56,34.42,30.49,19
2024,Carlow,2024Q4,2022,2.5,19.94,10.38,6.84,13.93,936.0,1875.4,24557,22282,1724,284,7.02,12363,6339,3986,1869,7.61,17.19,34.73,25.96,20
2024,Wicklow,2024Q4,2022,2.3,18.47,9.71,6.32,13.12,1224.1,2118.8,59629,54246,3334,986,5.59,26346,16162,11041,6080,10.2,14.06,27.22,20.64,21
2024,Louth,2024Q4,2022,2.3,18.07,10.51,7.13,13.85,821.4,1831.0,54842,49533,3582,781,6.53,21280,14336,14833,4393,8.01,14.06,25.18,19.62,22
2024,Laois,2024Q4,2022,2.7,16.8,9.99,6.27,13.72,877.6,2015.5,34443,31196,2576,196,7.48,18904,9622,4004,1913,5.55,20.31,18.69,19.5,23
2024,Dublin,2024Q4,2022,1.68,14.41,10.58,7.2,13.94,747.7,1816.1,565321,520882,31658,1756,5.6,54487,163885,186152,160797,28.44,4.35,6.49,5.42,24
2024,Meath,2024Q4,2022,1.7,13.66,10.3,6.75,13.87,786.4,1901.7,78759,72721,4416,331,5.61,39565,23279,9288,6627,8.41,4.69,2.66,3.67,25
2024,Kildare,2024Q4,2022,1.4,13.14,10.34,6.75,13.92,757.8,1890.0,88997,82787,4528,202,5.09,34009,33349,12191,9448,10.62,0.0,0.0,0.0,26
