Priority Rank,County,Vacancy Quarter,Vacancy Rate (%),Poor BER (%),Vacancy Component (0-100),BER Component (0-100),Renovation Priority Score
1,Leitrim,2024Q4,7.8,29.65,100.0,84.32,92.16
2,Mayo,2024Q4,6.0,32.72,71.87,100.0,85.94
3,Donegal,2024Q4,6.3,29.58,76.56,83.96,80.26
4,Roscommon,2024Q4,5.6,29.62,65.62,84.17,74.9
5,Longford,2024Q4,4.9,26.56,54.69,68.54,61.61
6,Monaghan,2024Q4,5.2,24.7,59.38,59.04,59.21
7,Kerry,2024Q4,5.4,23.37,62.5,52.25,57.37
8,Tipperary,2024Q4,4.0,26.18,40.62,66.6,53.61
9,Sligo,2024Q4,5.1,22.26,57.81,46.58,52.2
10,Cavan,2024Q4,5.1,20.96,57.81,39.94,48.88
11,Clare,2024Q4,4.3,22.11,45.31,45.81,45.56
12,Offaly,2024Q4,3.3,23.46,29.69,52.71,41.2
13,Cork,2024Q4,3.33,21.77,30.13,44.08,37.11
14,Westmeath,2024Q4,3.2,21.49,28.12,42.65,35.39
15,Galway,2024Q4,3.41,20.58,31.39,38.0,34.69
16,Limerick,2024Q4,3.5,19.69,32.81,33.45,33.13
17,Wexford,2024Q4,3.4,19.36,31.25,31.77,31.51
18,Waterford,2024Q4,3.3,19.47,29.69,32.33,31.01
19,Kilkenny,2024Q4,3.1,19.88,26.56,34.42,30.49
20,Carlow,2024Q4,2.5,19.94,17.19,34.73,25.96
21,Wicklow,2024Q4,2.3,18.47,14.06,27.22,20.64
22,Louth,2024Q4,2.3,18.07,14.06,25.18,19.62
23,Laois,2024Q4,2.7,16.8,20.31,18.69,19.5
24,Dublin,2024Q4,1.68,14.41,4.35,6.49,5.42
25,Meath,2024Q4,1.7,13.66,4.69,2.66,3.67
26,Kildare,2024Q4,1.4,13.14,0.0,0.0,0.0
