Year,County,Months Available,Annual Mean Temperature (C),Annual Mean Minimum Temperature (C),Annual Mean Maximum Temperature (C),Annual Rainfall (mm),Estimated Heating Degree Days (Base 15.5C)
2024,Carlow,12,10.38,6.84,13.93,936.0,1875.4
2024,Cavan,12,9.79,6.2,13.35,1065.6,2091.0
2024,Clare,12,10.54,7.22,13.85,1306.9,1814.9
2024,Cork,12,10.61,7.35,13.86,1465.9,1791.3
2024,Donegal,12,9.59,6.54,12.64,1457.3,2164.3
2024,Dublin,12,10.58,7.2,13.94,747.7,1816.1
2024,Galway,12,10.37,7.03,13.71,1309.0,1878.4
2024,Kerry,12,10.53,7.42,13.62,1755.0,1818.7
2024,Kildare,12,10.34,6.75,13.92,757.8,1890.0
2024,Kilkenny,12,10.36,6.76,13.96,967.4,1882.0
2024,Laois,12,9.99,6.27,13.72,877.6,2015.5
2024,Leitrim,12,9.67,6.2,13.11,1308.9,2134.0
2024,Limerick,12,10.49,6.97,14.0,1100.0,1833.4
2024,Longford,12,10.04,6.31,13.76,972.8,1999.7
2024,Louth,12,10.51,7.13,13.85,821.4,1831.0
2024,Mayo,12,10.14,7.07,13.2,1505.1,1963.5
2024,Meath,12,10.3,6.75,13.87,786.4,1901.7
2024,Monaghan,12,9.91,6.38,13.45,905.3,2045.0
2024,Offaly,12,10.24,6.51,13.97,836.3,1926.9
2024,Roscommon,12,10.09,6.51,13.68,1124.6,1981.7
2024,Sligo,12,9.89,6.64,13.16,1302.7,2054.7
2024,Tipperary,12,10.18,6.55,13.81,1019.2,1946.0
2024,Waterford,12,10.47,7.08,13.84,1300.1,1842.6
2024,Westmeath,12,10.12,6.41,13.79,896.4,1969.2
2024,Wexford,12,10.88,7.7,14.05,1118.4,1702.0
2024,Wicklow,12,9.71,6.32,13.12,1224.1,2118.8
